"scenario_num","scenario_name","scenario_prompt","question_num","question_text","option_A_text","option_B_text","option_C_text","option_D_text","correct_label_A_B_C_or_D"
"1","Velocity","You are in a conversation. The other person asks a question. Before they finish, you already know your answer and begin speaking.","1","What is the FIRST signal?","","","","",""
"1","Velocity","You are in a conversation. The other person asks a question. Before they finish, you already know your answer and begin speaking.","2","What stage of the system is occurring?","","","","",""
"1","Velocity","You are in a conversation. The other person asks a question. Before they finish, you already know your answer and begin speaking.","3","What is the FIRST correct action?","","","","",""
"1","Velocity","You are in a conversation. The other person asks a question. Before they finish, you already know your answer and begin speaking.","4","What must you avoid?","","","","",""
"2","Perception","You are presented with a system condition (Human Performance Risk Control Infrastructure). One detail stands out immediately. You focus on it and stop asking questions.","1","What is the FIRST signal?","","","","",""
"2","Perception","You are presented with a system condition (Human Performance Risk Control Infrastructure). One detail stands out immediately. You focus on it and stop asking questions.","2","What stage of the system is occurring?","","","","",""
"2","Perception","You are presented with a system condition (Human Performance Risk Control Infrastructure). One detail stands out immediately. You focus on it and stop asking questions.","3","What is the FIRST correct action?","","","","",""
"2","Perception","You are presented with a system condition (Human Performance Risk Control Infrastructure). One detail stands out immediately. You focus on it and stop asking questions.","4","What must you avoid?","","","","",""
"3","Latency","A question is asked. You feel pressure to respond quickly and answer immediately without pausing.","1","What is the FIRST signal?","","","","",""
"3","Latency","A question is asked. You feel pressure to respond quickly and answer immediately without pausing.","2","What stage of the system is occurring?","","","","",""
"3","Latency","A question is asked. You feel pressure to respond quickly and answer immediately without pausing.","3","What is the FIRST correct action?","","","","",""
"3","Latency","A question is asked. You feel pressure to respond quickly and answer immediately without pausing.","4","What must you avoid?","","","","",""
"4","Bandwidth","You are given multiple pieces of information. You focus on one and ignore the rest.","1","What is the FIRST signal?","","","","",""
"4","Bandwidth","You are given multiple pieces of information. You focus on one and ignore the rest.","2","What stage of the system is occurring?","","","","",""
"4","Bandwidth","You are given multiple pieces of information. You focus on one and ignore the rest.","3","What is the FIRST correct action?","","","","",""
"4","Bandwidth","You are given multiple pieces of information. You focus on one and ignore the rest.","4","What must you avoid?","","","","",""
"5","Recovery","You make a mistake. You immediately engage again without resetting and your next response is faster and sharper.","1","What is the FIRST signal?","","","","",""
"5","Recovery","You make a mistake. You immediately engage again without resetting and your next response is faster and sharper.","2","What stage of the system is occurring?","","","","",""
"5","Recovery","You make a mistake. You immediately engage again without resetting and your next response is faster and sharper.","3","What is the FIRST correct action?","","","","",""
"5","Recovery","You make a mistake. You immediately engage again without resetting and your next response is faster and sharper.","4","What must you avoid?","","","","",""
"6","Gap","You feel uncomfortable with silence and respond quickly to fill the space.","1","What is the FIRST signal?","","","","",""
"6","Gap","You feel uncomfortable with silence and respond quickly to fill the space.","2","What stage of the system is occurring?","","","","",""
"6","Gap","You feel uncomfortable with silence and respond quickly to fill the space.","3","What is the FIRST correct action?","","","","",""
"6","Gap","You feel uncomfortable with silence and respond quickly to fill the space.","4","What must you avoid?","","","","",""
"7","Interaction Velocity","Another person begins speaking quickly. You match their pace without realizing it.","1","What is the FIRST signal?","","","","",""
"7","Interaction Velocity","Another person begins speaking quickly. You match their pace without realizing it.","2","What stage of the system is occurring?","","","","",""
"7","Interaction Velocity","Another person begins speaking quickly. You match their pace without realizing it.","3","What is the FIRST correct action?","","","","",""
"7","Interaction Velocity","Another person begins speaking quickly. You match their pace without realizing it.","4","What must you avoid?","","","","",""
"8","Sequencing","Someone explains a system condition (Human Performance Risk Control Infrastructure). You respond to the first part and miss the rest.","1","What is the FIRST signal?","","","","",""
"8","Sequencing","Someone explains a system condition (Human Performance Risk Control Infrastructure). You respond to the first part and miss the rest.","2","What stage of the system is occurring?","","","","",""
"8","Sequencing","Someone explains a system condition (Human Performance Risk Control Infrastructure). You respond to the first part and miss the rest.","3","What is the FIRST correct action?","","","","",""
"8","Sequencing","Someone explains a system condition (Human Performance Risk Control Infrastructure). You respond to the first part and miss the rest.","4","What must you avoid?","","","","",""
"9","Escalation","A conversation speeds up slightly. You respond faster. The other person responds even faster.","1","What is the FIRST signal?","","","","",""
"9","Escalation","A conversation speeds up slightly. You respond faster. The other person responds even faster.","2","What stage of the system is occurring?","","","","",""
"9","Escalation","A conversation speeds up slightly. You respond faster. The other person responds even faster.","3","What is the FIRST correct action?","","","","",""
"9","Escalation","A conversation speeds up slightly. You respond faster. The other person responds even faster.","4","What must you avoid?","","","","",""
"10","Perception in Others","Someone becomes fixed on their opinion and stops adjusting when new information is introduced.","1","What is the FIRST signal?","","","","",""
"10","Perception in Others","Someone becomes fixed on their opinion and stops adjusting when new information is introduced.","2","What stage of the system is occurring?","","","","",""
"10","Perception in Others","Someone becomes fixed on their opinion and stops adjusting when new information is introduced.","3","What is the FIRST correct action?","","","","",""
"10","Perception in Others","Someone becomes fixed on their opinion and stops adjusting when new information is introduced.","4","What must you avoid?","","","","",""
"11","Velocity + Perception","The moment speeds up and you become certain quickly. You stop asking questions.","1","What is the FIRST signal?","","","","",""
"11","Velocity + Perception","The moment speeds up and you become certain quickly. You stop asking questions.","2","What stage of the system is occurring?","","","","",""
"11","Velocity + Perception","The moment speeds up and you become certain quickly. You stop asking questions.","3","What is the FIRST correct action?","","","","",""
"11","Velocity + Perception","The moment speeds up and you become certain quickly. You stop asking questions.","4","What must you avoid?","","","","",""
"12","Perception + Latency","You narrow to one idea and immediately act on it without waiting.","1","What is the FIRST signal?","","","","",""
"12","Perception + Latency","You narrow to one idea and immediately act on it without waiting.","2","What stage of the system is occurring?","","","","",""
"12","Perception + Latency","You narrow to one idea and immediately act on it without waiting.","3","What is the FIRST correct action?","","","","",""
"12","Perception + Latency","You narrow to one idea and immediately act on it without waiting.","4","What must you avoid?","","","","",""
"13","Latency + Bandwidth","You respond quickly and only consider one part of the system condition (Human Performance Risk Control Infrastructure).","1","What is the FIRST signal?","","","","",""
"13","Latency + Bandwidth","You respond quickly and only consider one part of the system condition (Human Performance Risk Control Infrastructure).","2","What stage of the system is occurring?","","","","",""
"13","Latency + Bandwidth","You respond quickly and only consider one part of the system condition (Human Performance Risk Control Infrastructure).","3","What is the FIRST correct action?","","","","",""
"13","Latency + Bandwidth","You respond quickly and only consider one part of the system condition (Human Performance Risk Control Infrastructure).","4","What must you avoid?","","","","",""
"14","Bandwidth + Recovery","You drop variables and carry tension into the next moment.","1","What is the FIRST signal?","","","","",""
"14","Bandwidth + Recovery","You drop variables and carry tension into the next moment.","2","What stage of the system is occurring?","","","","",""
"14","Bandwidth + Recovery","You drop variables and carry tension into the next moment.","3","What is the FIRST correct action?","","","","",""
"14","Bandwidth + Recovery","You drop variables and carry tension into the next moment.","4","What must you avoid?","","","","",""
"15","Recovery + Gap","You don't reset and you rush the next interaction.","1","What is the FIRST signal?","","","","",""
"15","Recovery + Gap","You don't reset and you rush the next interaction.","2","What stage of the system is occurring?","","","","",""
"15","Recovery + Gap","You don't reset and you rush the next interaction.","3","What is the FIRST correct action?","","","","",""
"15","Recovery + Gap","You don't reset and you rush the next interaction.","4","What must you avoid?","","","","",""
"16","Gap + Interaction","You feel pressure to respond quickly in conversation and match the pace.","1","What is the FIRST signal?","","","","",""
"16","Gap + Interaction","You feel pressure to respond quickly in conversation and match the pace.","2","What stage of the system is occurring?","","","","",""
"16","Gap + Interaction","You feel pressure to respond quickly in conversation and match the pace.","3","What is the FIRST correct action?","","","","",""
"16","Gap + Interaction","You feel pressure to respond quickly in conversation and match the pace.","4","What must you avoid?","","","","",""
"17","Interaction + Escalation","You match speed and the conversation begins to tighten.","1","What is the FIRST signal?","","","","",""
"17","Interaction + Escalation","You match speed and the conversation begins to tighten.","2","What stage of the system is occurring?","","","","",""
"17","Interaction + Escalation","You match speed and the conversation begins to tighten.","3","What is the FIRST correct action?","","","","",""
"17","Interaction + Escalation","You match speed and the conversation begins to tighten.","4","What must you avoid?","","","","",""
"18","Escalation + Sequencing","The interaction speeds up and both sides begin responding to partial information.","1","What is the FIRST signal?","","","","",""
"18","Escalation + Sequencing","The interaction speeds up and both sides begin responding to partial information.","2","What stage of the system is occurring?","","","","",""
"18","Escalation + Sequencing","The interaction speeds up and both sides begin responding to partial information.","3","What is the FIRST correct action?","","","","",""
"18","Escalation + Sequencing","The interaction speeds up and both sides begin responding to partial information.","4","What must you avoid?","","","","",""
"19","Sequencing + Perception","You respond early and misinterpret what was said.","1","What is the FIRST signal?","","","","",""
"19","Sequencing + Perception","You respond early and misinterpret what was said.","2","What stage of the system is occurring?","","","","",""
"19","Sequencing + Perception","You respond early and misinterpret what was said.","3","What is the FIRST correct action?","","","","",""
"19","Sequencing + Perception","You respond early and misinterpret what was said.","4","What must you avoid?","","","","",""
"20","Perception + Other Person","You narrow and the other person narrows, and both stop adjusting.","1","What is the FIRST signal?","","","","",""
"20","Perception + Other Person","You narrow and the other person narrows, and both stop adjusting.","2","What stage of the system is occurring?","","","","",""
"20","Perception + Other Person","You narrow and the other person narrows, and both stop adjusting.","3","What is the FIRST correct action?","","","","",""
"20","Perception + Other Person","You narrow and the other person narrows, and both stop adjusting.","4","What must you avoid?","","","","",""
"21","Full Cascade (Individual)","You feel pressure. You speed up. You focus on one detail. You respond quickly. You realize afterward you missed key information.","1","What is the FIRST signal?","","","","",""
"21","Full Cascade (Individual)","You feel pressure. You speed up. You focus on one detail. You respond quickly. You realize afterward you missed key information.","2","What stage of the system is occurring?","","","","",""
"21","Full Cascade (Individual)","You feel pressure. You speed up. You focus on one detail. You respond quickly. You realize afterward you missed key information.","3","What is the FIRST correct action?","","","","",""
"21","Full Cascade (Individual)","You feel pressure. You speed up. You focus on one detail. You respond quickly. You realize afterward you missed key information.","4","What must you avoid?","","","","",""
"22","Full Cascade (Interaction)","A conversation starts normal. Speed increases. Both sides respond faster. Misalignment begins. The interaction escalates.","1","What is the FIRST signal?","","","","",""
"22","Full Cascade (Interaction)","A conversation starts normal. Speed increases. Both sides respond faster. Misalignment begins. The interaction escalates.","2","What stage of the system is occurring?","","","","",""
"22","Full Cascade (Interaction)","A conversation starts normal. Speed increases. Both sides respond faster. Misalignment begins. The interaction escalates.","3","What is the FIRST correct action?","","","","",""
"22","Full Cascade (Interaction)","A conversation starts normal. Speed increases. Both sides respond faster. Misalignment begins. The interaction escalates.","4","What must you avoid?","","","","",""
"23","Full Cascade (Team)","A group begins moving faster. Communication tightens. Decisions are made early. Coordination breaks down.","1","What is the FIRST signal?","","","","",""
"23","Full Cascade (Team)","A group begins moving faster. Communication tightens. Decisions are made early. Coordination breaks down.","2","What stage of the system is occurring?","","","","",""
"23","Full Cascade (Team)","A group begins moving faster. Communication tightens. Decisions are made early. Coordination breaks down.","3","What is the FIRST correct action?","","","","",""
"23","Full Cascade (Team)","A group begins moving faster. Communication tightens. Decisions are made early. Coordination breaks down.","4","What must you avoid?","","","","",""
"24","Recovery Failure","Multiple system conditions (Human Performance Risk Control Infrastructure) occur back-to-back. Each one increases intensity. You do not reset between them. Your responses degrade over time.","1","What is the FIRST signal?","","","","",""
"24","Recovery Failure","Multiple system conditions (Human Performance Risk Control Infrastructure) occur back-to-back. Each one increases intensity. You do not reset between them. Your responses degrade over time.","2","What stage of the system is occurring?","","","","",""
"24","Recovery Failure","Multiple system conditions (Human Performance Risk Control Infrastructure) occur back-to-back. Each one increases intensity. You do not reset between them. Your responses degrade over time.","3","What is the FIRST correct action?","","","","",""
"24","Recovery Failure","Multiple system conditions (Human Performance Risk Control Infrastructure) occur back-to-back. Each one increases intensity. You do not reset between them. Your responses degrade over time.","4","What must you avoid?","","","","",""
"25","Drift","Over time, your responses become faster, simpler, and less controlled. You do not notice the change until performance drops.","1","What is the FIRST signal?","","","","",""
"25","Drift","Over time, your responses become faster, simpler, and less controlled. You do not notice the change until performance drops.","2","What stage of the system is occurring?","","","","",""
"25","Drift","Over time, your responses become faster, simpler, and less controlled. You do not notice the change until performance drops.","3","What is the FIRST correct action?","","","","",""
"25","Drift","Over time, your responses become faster, simpler, and less controlled. You do not notice the change until performance drops.","4","What must you avoid?","","","","",""
